Mapping:0:bird_bluejay, to 0:bird_bluejay
Mapping:1:bird_cardinal, to 1:bird_cardinal
Mapping:2:bird_humming, to 2:bird_humming
Mapping:3:bird_vireo, to 3:bird_sparrow
Mapping:4:bird_dove, to 4:bird_dove
Mapping:5:bird_chickadee, to 5:bird_chickadee
Mapping:6:bird_sparrow, to 3:bird_sparrow
Mapping:7:bird_titmouse, to 6:bird_titmouse
Mapping:8:bird_robin, to 7:bird_robin
Mapping:9:bird_swallow, to 8:bird_swallow
Mapping:10:bird_baby, to 9:bird_baby
Mapping:11:bird_wren, to 3:bird_sparrow
Mapping:12:bird_kingbird, to 3:bird_sparrow
Mapping:13:bird_crossbill, to 10:bird_crossbill
Mapping:14:bird_goldfinch, to 11:bird_goldfinch
Mapping:15:bird_bunting, to 12:bird_bunting
Mapping:16:bird_wheatear, to 3:bird_sparrow
Mapping:17:bird_warbler, to 3:bird_sparrow
Mapping:18:bird_woodpecker, to 13:bird_woodpecker
Mapping:19:bird_cardinalf, to 14:bird_cardinalf
Mapping:20:bird_buntingf, to 15:bird_buntingf
